fault_class,episode_id,label,horizon_s,window_kind,mean,std,min,max,last,n_samples
network_degradation,normal_ref_1,0,,normal_reference,0.737633626,0.0,0.737633626,0.737633626,0.737633626,3
network_degradation,normal_ref_2,0,,normal_reference,0.7188650553333334,0.0265427671831578,0.681327914,0.737633626,0.681327914,3
network_degradation,normal_ref_3,0,,normal_reference,0.681327914,0.0,0.681327914,0.681327914,0.681327914,3
network_degradation,normal_ref_4,0,,normal_reference,0.6957397773333334,0.0203814525850675,0.681327914,0.724563504,0.724563504,3
network_degradation,normal_ref_5,0,,normal_reference,0.7245635040000001,1.1102230246251563e-16,0.724563504,0.724563504,0.724563504,3
network_degradation,normal_ref_6,0,,normal_reference,0.6978792686666667,0.0377372075099553,0.644510798,0.724563504,0.644510798,3
network_degradation,normal_ref_7,0,,normal_reference,0.644510798,0.0,0.644510798,0.644510798,0.644510798,3
network_degradation,normal_ref_8,0,,normal_reference,0.65168433,0.0101449062445173,0.644510798,0.666031394,0.666031394,3
network_degradation,normal_ref_9,0,,normal_reference,0.666031394,0.0,0.666031394,0.666031394,0.666031394,3
network_degradation,normal_ref_10,0,,normal_reference,0.666031394,0.0,0.666031394,0.666031394,0.666031394,3
disk_pressure,campaign1,1,15.0,pre_failure,995153293312.0,0.0,995153293312.0,995153293312.0,995153293312.0,3
disk_pressure,campaign1,1,30.0,pre_failure,995153293312.0,0.0,995153293312.0,995153293312.0,995153293312.0,3
disk_pressure,campaign2,1,15.0,pre_failure,995152027648.0,0.0,995152027648.0,995152027648.0,995152027648.0,3
disk_pressure,campaign2,1,30.0,pre_failure,994078422357.3334,1518307162.6963089,991931211776.0,995152027648.0,995152027648.0,3
disk_pressure,campaign3,1,15.0,pre_failure,995151095125.3334,206603.40213612703,995150802944.0,995151241216.0,995150802944.0,3
disk_pressure,campaign3,1,30.0,pre_failure,995151241216.0,0.0,995151241216.0,995151241216.0,995151241216.0,3
disk_pressure,campaign4,1,15.0,pre_failure,995150185813.3334,177640.30837872604,995149934592.0,995150311424.0,995149934592.0,3
disk_pressure,campaign4,1,30.0,pre_failure,995150311424.0,0.0,995150311424.0,995150311424.0,995150311424.0,3
disk_pressure,campaign5,1,15.0,pre_failure,995149176832.0,0.0,995149176832.0,995149176832.0,995149176832.0,3
disk_pressure,campaign5,1,30.0,pre_failure,995149176832.0,0.0,995149176832.0,995149176832.0,995149176832.0,3
disk_pressure,campaign7,1,15.0,pre_failure,995147184810.6666,169916.81671008578,995146944512.0,995147304960.0,995146944512.0,3
disk_pressure,campaign7,1,30.0,pre_failure,995147304960.0,0.0,995147304960.0,995147304960.0,995147304960.0,3
disk_pressure,campaign8,1,15.0,pre_failure,995146117120.0,0.0,995146117120.0,995146117120.0,995146117120.0,3
disk_pressure,campaign8,1,30.0,pre_failure,995146117120.0,0.0,995146117120.0,995146117120.0,995146117120.0,3
disk_pressure,topup1,1,15.0,pre_failure,995050299392.0,0.0,995050299392.0,995050299392.0,995050299392.0,3
disk_pressure,topup1,1,30.0,pre_failure,995050347178.6666,67580.55210060229,995050299392.0,995050442752.0,995050299392.0,3
disk_pressure,normal_ref_1,0,,normal_reference,994921242624.0,0.0,994921242624.0,994921242624.0,994921242624.0,3
disk_pressure,normal_ref_2,0,,normal_reference,994920423424.0,126976.0,994920296448.0,994920550400.0,994920296448.0,2
disk_pressure,normal_ref_3,0,,normal_reference,994853027840.0,0.0,994853027840.0,994853027840.0,994853027840.0,2
disk_pressure,normal_ref_4,0,,normal_reference,994915274752.0,253952.0,994915020800.0,994915528704.0,994915020800.0,2
disk_pressure,normal_ref_5,0,,normal_reference,994907389952.0,0.0,994907389952.0,994907389952.0,994907389952.0,2
disk_pressure,normal_ref_6,0,,normal_reference,994904390314.6666,239428.24172784816,994904051712.0,994904559616.0,994904051712.0,3
disk_pressure,normal_ref_7,0,,normal_reference,994901340160.0,0.0,994901340160.0,994901340160.0,994901340160.0,2
disk_pressure,normal_ref_8,0,,normal_reference,994898210816.0,249856.0,994897960960.0,994898460672.0,994897960960.0,2
disk_pressure,normal_ref_9,0,,normal_reference,994882805760.0,0.0,994882805760.0,994882805760.0,994882805760.0,2
disk_pressure,normal_ref_10,0,,normal_reference,994875629568.0,241664.0,994875387904.0,994875871232.0,994875387904.0,2
